4001 South 700 East,0 , Western Governors University
1060 Dalton Ave S,	1, International Peace Gardens
1330 2100 S, 2,	Sugar House Park
1488 4800 S, 3,	Taylorsville-Bennion Heritage City Gov Off
177 W Price Ave, 4,	Salt Lake City Division of Health Services
195 W Oakland Ave,	5,	South Salt Lake Public Works
2010 W 500 S, 6, Salt Lake City Streets and Sanitation
2300 Parkway Blvd,	7,	Deker Lake
233 Canyon Rd,	8,	Salt Lake City Ottinger Hall
2530 S 500 E,	9,	Columbus Library
2600 Taylorsville Blvd,	10,	Taylorsville City Hall
2835 Main St, 11, South Salt Lake Police
300 State St, 12, Council Hall
3060 Lester St,	13,	Redwood Park
3148 S 1100 W,	14,	Salt Lake County Mental Health
3365 S 900 W,	15,	Salt Lake County/United Police Dept
3575 W Valley Central Station bus Loop,	16,	West Valley Prosecutor
3595 Main St,	17,	Housing Auth. of Salt Lake County
380 W 2880 S,	18,	Utah DMV Administrative Office
410 S State St,	19,	Third District Juvenile Court
4300 S 1300 E,	20,	Cottonwood Regional Softball Complex
4580 S 2300 E,	21,	Holiday City Office
5025 State St,	22,	Murray City Museum
5100 South 2700 West, 23,	Valley Regional Softball Complex
5383 South 900 East #104, 24, City Center of Rock Springs
600 E 900 South, 25,	Rice Terrace Pavilion Park
6351 South 900 East, 26,	Wheeler Historic Farm
